Symbol,Globex Symbol,Name,Exchange,Start Date,First Contract,Months,Number of Contracts,Contract Size,Tick Size,Pricing Unit,Deliverable,Big Point Value
"GC","GC","NYMEX Gold","CME","1975-02-25","G1975","GJMQVZ","2","100 troy ounces","$0.10 per troy ounce","U.S. Dollars and Cents per troy ounce","Gold delivered under this contract shall assay to a minimum of 995 fineness.","100"
"PA","PA","NYMEX Palladium","CME","1977-03-14","H1977","HMUZ","1","100 troy ounces","$0.05 per troy ounce","US dollars and cents per troy ounce","Palladium that is a minimum of 99.95% pure","100"
"HO","HO","NYMEX Heating Oil","CME","1979-12-28","F1980","FGHJKMNQUVXZ","2","42,000 gallons","$0.0001 per gallon","U.S. dollars and cents per gallon","The oil delivered shall be a pure hydrocarbon oil free from renewable fuel, biodiesel, alkali, mineral acid, grit, fibrous or other foreign matter, meeting the Delivery specifications of the Colonial Pipeline's Fungible Grade 62 for Ultra Low Sulfur Diesel","42000"
"SF","6S","CME Swiss Franc CHF","CME","1975-09-15","U1975","HMUZ","1","125,000 Swiss francs","$.0001 per Swiss Franc increments ($12.50/contract). $.00005 per Swiss Franc increments ($6.25/contract) for CHF/USD futures intra-currency spreads executed on the trading floor and electronically, and for AON transactions.","US dollars and cents per Swiss Franc","125,000 Swiss Francs","125000"
"PL","PL","NYMEX Platinum","CME","1970-01-14","F1970","FJNV","1","50 troy ounces","$0.10 per troy ounce","dollars and Cents per troy ounce","Platinum that is a minimum of 99.95% pure","50"
"C","ZC","CBOT Corn","CME","1960-03-22","H1960","HKNUZ","4","5,000 bushels (~ 127 Metric Tons)","1/4 of one cent per bushel ($12.50 per contract)","Cents per bushel","#2 Yellow at contract Price, #1 Yellow at a 1.5 cent/bushel premium #3 Yellow at a 1.5 cent/bushel discount","50"
"SM","ZM","CBOT Soybean Meal","CME","1964-03-19","H1964","FHKNQUVZ","2","100 Short Tons (~ 91 metric tons)","10 cents per short ton ($10.00 per contract)","Dollars and Cents per short ton","48% Protein Soybean Meal, meeting the requirements listed in the CBOT Rules and Regulations","100"
"FV","ZF","CBOT 5-year US Treasury Note","CME","1988-06-21","M1988","HMUZ","1","One U.S. Treasury note having a face value at maturity of $100,000.","One-quarter of one thirty-second (1/32) of one point ($7.8125, rounded up to the nearest cent per contract), including intermonth spreads.","Points ($1,000) and quarters of 1/32 of a point. For example, 119-16 represents 119 16/32, 119-162 represents 119 16.25/32, 119-165 represents 119 16.5/32, and 119-167 represents 119 16.75/32. Par is on the basis of 100 points.","U.S. Treasury notes with an original term to maturity of not more than five years and three months and a remaining term to maturity of not less than four years and two months as of the first day of the delivery month. The invoice price equals the futures settlement price times a conversion factor, plus accrued interest. The conversion factor is the price of the delivered note ($1 par value) to yield 6 percent.","1000"
"NG","NG","NYMEX Natural Gas","CME","1990-05-22","M1990","FGHJKMNQUVXZ","9","10,000 million British thermal units (mmBtu).","$0.001 per MMBtu","U.S. dollars and cents per mmBtu.","Natural Gas meeting the specifications set forth in the FERC-approved tariff of Sabine Pipe Line Company as then in effect at the time of delivery shall be deliverable in satisfaction of futures contract delivery obligations.","10000"
"ATW","","ICE Rotterdam Coal","ICE","2006-09-01","Z2006","FGHJKMNQUVXZ","2","1,000 metric tons","US dollars and cents per tonne","5 cents per tonne","Contracts are financially settled based upon the price of coal delivered into the Amsterdam, Rotterdam, and Antwerp region in the Netherlands. The contract is cash settled against the API 2 Index published in the Argus/McCloskey Coal Price Index Report.","50"
"RF","","ICE Russell 1000 Index Mini","ICE","2007-09-25","U2007","HMUZ","2","$100 times the Index","Index points, to two decimal places",".10 Index points","$100 times the Index Deliverable Good: Cash settlement to a special opening calculation of the Russell 2000 Index based on the opening prices of the component stocks on the third Friday of the contract month. Please see Exchange Rules 19.04 and 19.26 for additional information.","100"
"DJ","ZD","CBOT Dow Jones Ind Avg (DJIA)","CME","1998-03-19","H1998","HMUZ","2","$10 x Dow Jones Industrial Average (DJIA)","1.00 index points=$10.00","Index Points","None, this contract is cash settled.","10"
"TY","ZN","CBOT 10-year US Treasury Note","CME","1982-06-21","M1982","HMUZ","1","One U.S. Treasury note having a face value at maturity of $100,000.","One-half of one thirty-second (1/32) of one point ($15.625, rounded up to the nearest cent per contract), except for intermonth spreads, where the minimum price fluctuation shall be one-quarter of one thirty-second of one point ($7.8125 per contract).","Points ($1,000) and halves of 1/32 of a point. For example, 126-16 represents 126 16/32 and 126-165 represents 126 16.5/32. Par is on the basis of 100 points.","U.S. Treasury notes with a remaining term to maturity of at least six and a half years, but not more than 10 years, from the first day of the delivery month. The invoice price equals the futures settlement price times a conversion factor, plus accrued interest. The conversion factor is the price of the delivered note ($1 par value) to yield 6 percent.","1000"
"KC","","ICE Coffee C","ICE","1973-12-26","Z1973","HKNUZ","2","37,500 pounds","Cents and hundredths of a cent up to two decimal places","5/100 cent/lb","Mexico, Salvador, Guatemala, Costa Rica, Nicaragua, Kenya, New Guinea, Panama, Tanzania, Uganda, Honduras, and Peru all at par, Colombia at 200 point premium, Burundi, Rwanda, Venezuela and India at 100 point discount, Dominican Republic and Ecuador at 400 point discount, and Brazil at 900 point discount.Effective starting with the May 2016 contract the differential for Colombia will become 400 points premium and the differential for Brazil will become 600 points discount.","375"
"BP","B6","CME British Pound GBP","CME","1975-09-15","U1975","HMUZ","2","62,500 British pounds","$.0001 per British pound increments ($6.25/contract).","US dollars and cents","62,500 British pounds","62500"
"JY","6J","CME Japanese Yen JPY","CME","1977-03-11","H1977","HMUZ","2","12,500,000 Japanese yen","$.000001 per Japanese yen increments ($12.50/contract). $.0000005 per Japanese yen increments ($6.25/contract) for JPY/USD futures intra-currency spreads executed on the trading floor and electronically, and for AON transactions.","US dollars and cents","12,500,000 Japanese yen","12.5"
"CD","D6","CME Canadian Dollar CAD","CME","1977-06-14","M1977","HMUZ","2","100,000 Canadian dollars","$.0001 per Canadian dollar increments ($10.00/contract). $.00005 per Canadian dollar increments ($5.00/contract) for CAD/USD futures intra-currency spreads executed on the trading floor and electronically, and for AON transactions.","US dollars and cents","100,000 Canadian dollars","100000"
"DX","","ICE US Dollar Index","ICE","1999-03-18","H1999","HMUZ","2","$1,000 times the index ","US Dollar index points, calculated to three decimal places",".10 Index points","$1000 times the index value Deliverable Good: The US Dollar Index is physically settled on the third Wednesday of the expiration month against six component currencies (euro, Japanese yen, British pound, Canadian dollar, Swedish krona and Swiss franc) in their respective percentage weights in the Index. Settlement rates may be quoted to three decimal places.","1000"
"ED","GE","CME Eurodollar","CME","1982-03-15","H1982","HMUZ","9","Interest on Eurodollar deposits having a face value of $1,000,000 for three months.","Nearest expiring contract month: One quarter of one interest rate basis point = 0.0025 price points = $6.25 per contract. All other contract months:One half of one interest rate basis point = 0.005 price points = $12.50 per contract.","Quoted in IMM Three-Month LIBOR index points or 100 minus the rate on an annual basis over a 360 day year (e.g., a rate of 2.5% shall be quoted as 97.50). 1 basis point = .01 = $25.","None, this contract is cash settled","2500"
"M","","ICE UK Natural Gas","ICE","1997-02-27","H1997","FGHJKMNQUVXZ","2","1,000 therms per day per period","Sterling and pence per therm","5000 therms per day","Matching Acquiring and Disposing Trade Nominations (buyer from ICEU, seller to ICEU) are input by buyer and seller to National Grid via Gemini before 18:30 on the business day prior to the commencement of the delivery period. Delivery takes place in kilowatt-hours (29.3071 kilowatt hours per therm).","1"
"SP","SP","CME S&P 500 Index","CME","1982-06-17","M1982","HMUZ","2","$250 x S&P 500 Index","0.10 index points=$25","Index Points","None, this contract is cash settled.","250"
"T","","ICE WTI Crude Oil","ICE","2006-02-17","H2006","FGHJKMNQUVXZ","2","1,000 barrels","US dollars and cents","one cent per barrel","The West Texas Intermediate Light Sweet Crude Oil futures contract is cash settled against the prevailing market price for US light sweet crude. It is a price in USD per barrel equal to the penultimate settlement price for WTI crude futures as made public by NYMEX for the month of production per 2005 ISDA Commodity Definitions.","1000"
"EC","6E","CME Euro FX","CME","1999-03-15","H1999","HMUZ","2","125,000 Euros","$.0001 per euro increments ($12.50/contract). $.00005 per euro increments ($6.25/contract) for EUR/USD futures intra-currency spreads executed on the trading floor and electronically, and for AON transactions.","US dollars and cents","None, this contract is cash settled.","125000"
"CT","","ICE Cotton","ICE","1972-12-06","Z1972","HKNVZ","2","50,000 pounds net weight","Cents and hundredths of a cent per pound","/100 of a cent (one point) per pound","Quality : Strict Low Middling Staple Length: 1 2/32nd inc. Deliverable to: Galveston, TX, Houston, TX, Dallas/Ft. Worth, TS, Memphis, TN and Greenville/Spartanburg, SC.","500"
"G","","ICE Gasoil","ICE","1990-09-12","U1990","FGHJKMNQUVXZ","2","100 metric tons",".US dollars and cents","25 cents per tonne","One or more lots of 100 metric tonnes of gasoil, with delivery by volume namely 118.35 cubic metres per lot being the equivalent of 100 metric tonnes of gasoil, at a density of 0.845 kg/litre in vacuum at 15C.","100"
"CC","","ICE Cocoa","ICE","1970-03-24","H1970","HKNUZ","1","10 metric tons","Dollars per metric tons","Dollar per metric ton","The growth of any country or clime, including new or yet unknown growths. Growths are divided into three classifications. Group A-Deliverable at a premium of $160/ton (including main crops of Ghana, Lome, Nigeria, Ivory Coast and Sierra Leone). Group B-Deliverable at a premium of $80/ton (includes Bahia, Arriba, Venezuela,Sanchez among others). Group C-Deliverable at par (includes Haiti, Malaysia and all others).Commencing with the July 2015 expiry, the growths of Peru and Colombia will be included in Group B.","10"
"OJ","","ICE Orange Juice","ICE","1967-11-17","X1967","FHKNUX","2","15,000 pounds of orange juice solids (3% or less)","Cents and hundredths of a cent to two decimal places","5/100 of a cent per pound","The contract prices physical delivery of U.S. Grade A juice (with grading performed by the U.S. Department of Agriculture), in storage in exchange licensed warehouse in several U.S. delivery points. Allowed countries of origin are the U.S., Brazil, Costa Rica and Mexico.","150"
"LC","LE","CME Live Cattle","CME","1965-04-20","J1965","GJMQVZ","2","40,000 pounds (~18 metric tons)","$.00025 per pound (=$10 per contract)","Cents per pound","55% Choice, 45% Select, Yield Grade 3 live steers (or live heifers, effective with the August 2015 contract)","400"
"RB","RB","NYMEX Gasoline","CME","2005-12-30","F2006","FGHJKMNQUVXZ","2","42,000 gallons","$0.0001 per gallon","U.S. dollars and cents per gallon.","hydrocarbon oil free from alkali, mineral acid, grit, fibrous or other foreign matter, meeting the specifications as are in effect for downstream parties at the time of delivery meeting the requirements of Colonial Pipeline Company (Atlanta, Georgia) for: Fungible F Grade, Reformulated Regular Gasoline Blendstock (RBOB) for blending with 10% Denatured Fuel Ethanol (92% Purity) as defined in ASTM D-4806 as listed by the Colonial Pipeline as being properly designated for sale in New York and New Jersey in accordance with EPA regulations; provided, however, and notwithstanding anything to the contrary in the Colonial Pipeline specifications, the specifications set forth in Sections 101.1. through 101.5.","42000"
"KW","KE","CME Kansas City Wheat","CME","1976-09-21","U1976","HKNUZ","2","5,000 bushels (~136 metric tons)","1/4 cent per bushel ($12.50 per contract)","Cents and quarter cents per bushel","No. 2 at contract price with a maximum of 10 IDK per 100 grams; No. 1 at a 1 1/2-cent premium. Deliverable grades of HRW shall contain a minimum 11% protein level. However, protein levels of less than 11%, but equal to or greater than 10.5% are deliverable at a ten cent (10) discount to contract price. Protein levels of less than 10.5% are not deliverable. When warehouse receipts are surrendered to the issuer for load-out, the taker of delivery shall have the option to, at the takers expense, request in the written load-out instructions that the wheat contain no more than 2 ppm of deoxynivalenol (vomitoxin). A determination of the level of vomitoxin shall be made at the point of origin by the Federal Grain Inspection Service or such other third party inspection service mutually agreeable to the maker and taker of delivery. A determination of the level of vomitoxin shall be based on the average test results of the wheat loaded in a single day from a single warehouse for each taker of delivery.","50"
"TF","","ICE Russell 2000 Index Mini","ICE","2007-03-16","H2007","HMUZ","2","$100 times the Index","Index points, to two decimal placse",".10 Index points","Cash settlement to a special opening calculation of the Russell 2000 Index based on the opening prices of the component stocks on the third Friday of the contract month. Please see Exchange Rules 19.04 and 19.26 for additional information.","100"
"ZN","","SHFE Zinc","SHFE","2007-07-16","N2007","FHJKMNQUVXZ","2","5 ton","Yuan per ton","10 Yuan per ton","Standard products: 1# Standard Copper Cathode (Cu-CATH-2) as prescribed in the National Standard of GB/T467-2010, with Copper+Silver99.95%. Substitutions: Grade-A Copper (Cu-CATH-1) as prescribed in the National Standard of GB/T467-2010; or Grade-A Copper (Cu-CATH-1) as prescribed in BS EN 1978:1998",""
"MP","","ICE British Pound GBP","ICE","2007-03-21","H2007","HMUZ","2","62,500 pounds","U.S. dollars per pound to 4 decimal places",".0001 or 6.25 U.S. dollars per contract","Cash settled based on exchange rate.","62500"
"NE","6N","CME New Zealand Dollar NZD","CME","2004-12-13","Z2004","HMUZ","1","100,000 New Zealand dollars","$.0001 per New Zealand dollar increments ($10.00/contract). $.00005 per New Zealand dollar ($5.00/contract) for NZD/USD futures intra-currency spreads executed on the trading floor and electronically, and for AON transactions.","US dollars and cents per New Zealand Dollar","100,000 New Zealand Dollars","100000"
"NQ","NQ","CME NASDAQ 100 Index Mini","CME","1999-09-17","U1999","HMUZ","1","$20 x NASDAQ 100 Index","0.25 index points=$5.00","Index Points","None, this contract is cash settlted.","20"
"O","","ICE Heating Oil","ICE","2006-04-27","K2006","FGHJKMNQUVXZ","2","42,000 gallons"," US dollars and cents",".01 cents per gallon","The cash settlement price in US Dollars and cents per Gallon is equal to the penultimate settlement price for New York Harbor ULSD Heating Oil Futures Contract as made public by NYMEX for the month of production as specified within the relevant Contract Rules by reference to the 2005 ISDA Commodity Definitions.","1000"
"AL","","SHFE Aluminium","SHFE","2000-01-17","F2000","FHJKMNQUVXZ","2","5 ton","Yuan per ton","10 Yuan per ton","Standard products: 1# Standard Copper Cathode (Cu-CATH-2) as prescribed in the National Standard of GB/T467-2010, with Copper+Silver99.95%. Substitutions: Grade-A Copper (Cu-CATH-1) as prescribed in the National Standard of GB/T467-2010; or Grade-A Copper (Cu-CATH-1) as prescribed in BS EN 1978:1998",""
"VX","","CBOE VIX Futures","CBOE","2007-12-19","Z2007","FHJKMNQUVXZ","2","The contract multiplier for each VX futures contract is $1000.","0.05 points, equal to $50.00 per contract","Index Points","None, this contract is cash settled",""
"FGBM","","EUREX Euro-Bobl","EUREX","1995-12-08","Z1995","HMUZ","2","One German debt security with valute at maturity of EUR100000",".01 percent = EUR10","Percent of the par value","German debt security  with remaining term of 4.5 to 5.5 years with a 6% coupon.",""
"US","ZB","CBOT 30-year US Treasury Bond","CME","1977-12-20","Z1977","HMUZ","2","One U.S. Treasury bond having a face value at maturity of $100,000.","One thirty-second (1/32) of one point ($31.25), except for intermonth spreads, where the minimum price fluctuation shall be one-quarter of one thirty-second of one point ($7.8125 per contract).","Points ($1,000) and 1/32 of a point. For example, 134-16 represents 134 16/32. Par is on the basis of 100 points.","U.S. Treasury bonds that, if callable, are not callable for at least 15 years from the first day of the delivery month or, if not callable, have a remaining term to maturity of at least 15 years from the first day of the delivery month. Note: Beginning with the March 2011 expiry, the deliverable grade for T-Bond futures will be bonds with remaining maturity of at least 15 years, but less than 25 years, from the first day of the delivery month. The invoice price equals the futures settlement price times a conversion factor, plus accrued interest. The conversion factor is the price of the delivered bond ($1 par value) to yield 6 percent.","1000"
"I","","LIFFE EURIBOR","LIFFE","1996-03-18","H1996","HMUZ","2","EUR1000000","0.005 (EUR12.50)","100.00 minus rate of interest","None, this contract is cash settled",""
"PB","","SHFE Lead","SHFE","2011-09-15","U2011","FHJKMNQUVXZ","2","5 ton","Yuan per ton","10 Yuan per ton","Standard products: 1# Standard Copper Cathode (Cu-CATH-2) as prescribed in the National Standard of GB/T467-2010, with Copper+Silver99.95%. Substitutions: Grade-A Copper (Cu-CATH-1) as prescribed in the National Standard of GB/T467-2010; or Grade-A Copper (Cu-CATH-1) as prescribed in BS EN 1978:1998",""
"C","","LIFFE London Cocoa","LIFFE","1993-09-30","U1993","HKNUZ","2","10 tonnes","GBP per metric tonne","1GBP per tonne","Physical Delivery: Standard Delivery Unit (SDU)  bagged cocoa with a nominal net weight of ten tonnes. Large Delivery Unit (LDU)  bagged cocoa with a nominal net weight of 100 tonnes. Bulk Delivery Unit (BDU)  loose cocoa with a nominal net weight of 1,000 tonnes",""
"O","","CBOT Oats","CME","1970-03-19","H1970","HKNUZ","2","5000 bushels (86 metric tons)","1/4 of one cent per bushel ($12.50 per contract","US cents per bushel","No. 2 Heavy and No. 1 at par. No. 1 Extra Heavy at 7 cents per bushel over contract price. No. 2 Extra Heavy at 4 cents per bushel over contract price, and No. 1 Heavy at 3 cents per bushel over contract price. No. 2(36 pound total minimum test weight) at 3 cents per bushel under contract price and No. 2 (34 pound total minimum test weight) at 6 cents per bushel under contract price.",""
"RR","","CBOT Rough Rice","CME","1988-09-21","U1988","FHKNUX","2","2000 hundredweights (CWT) (91 Metric Tons)","1/2 cent per hundredweight ($10.00 per contract)","US cents per hundredweight","U.S. No. 2 or better long grain rough rice with a total milling yield of not less than 65% including head rice of not less than 48%. Premiums and discounts are provided for each percent of head rice over or below 55%, and for each percent of broken rice over or below 15%. No heat-damaged kernels are permitted in a 500-gram sample and no stained kernels are permitted in a 500-gram sample.  A maximum of 75 lightly discolored kernels are permitted in a 500-gram sample.",""
"SXF","","MX Montreal S&P/TSX 60 Index","MX","1999-12-16","Z1999","HMUZ","2","C$200 times the S&P/TSX 60 Index Standard Futures contract value.","0.10 index points","Quoted in index points, expressed to two decimals.","None, this contract is cash settled",""
"LB","","CME Random Length Lumber","CME","1973-09-14","U1973","FHKNUX","2","110,000 nominal board feet (260 cubic meters)","$.10 per mbf ($11 per contract)","Dollars per 1,000 board feet (mbf)","2-inch by 4-inch nominal lumber, 8-20 feet long",""
"FF","ZQ","CBOT 30-day Federal Funds","CME","1988-12-01","X1988","FGHJKMNQUVXZ","2","Interest on Fed Funds having a face value of $5,000,000 for one month.","Nearest expiring contract month: One-quarter of one basis point (0.0025), or $10.4175 per contract (1/4 of 1/100 of one percent of $5 million on a 30-day basis, rounded up to the nearest cent per contract). All other contract months: One-half of one basis point (0.005), or $20.835 per contract.","100 minus the average daily Fed Funds overnight rate for the delivery month (e.g., a 7.25 percent rate equals 92.75).","Expiring contracts are cash settled against the average daily Fed Funds overnight rate for the delivery month, rounded to the nearest one-tenth of one basis point. Final settlement occurs on the first business day following the last trading day. The daily Fed Funds overnight rate is calculated and reported by the Federal Reserve Bank of New York.","4167"
"HG","HG","COMEX Copper","CME","1959-12-29","Z1959","FHKNUZ","2","25,000 pounds","$0.0005 per pound","U.S. Cents per pound","25,000 pounds","25000"
"SB","","ICE Sugar No. 11","ICE","1964-02-14","H1964","HKNV","2","112,000 pounds","Cents and hundredths of a cent per pound to two decimal places","1/100 cent/lb","Growths of Argentina, Australia, Barbados, Belize, Brazil, Colombia, Costa Rica, Dominican Republic, El Salvador, Ecuador, Fiji Islands, French Antilles, Guatemala, Honduras, India, Jamaica, Malawi, Mauritius, Mexico, Mozambique,Nicaragua, Peru, Republic of the Philippines, South Africa, Swaziland, Taiwan, Thailand, Trinidad, United States, and Zimbabwe acceptable. Deliverable to  port in the country of origin or in the case of landlocked countries, at a berth or anchorage in the customary port of export.","1120"
"TU","ZT","CBOT 2-year US Treasury Note","CME","1990-09-19","U1990","HMUZ","1","One U.S. Treasury note having a face value at maturity of $200,000.","One-quarter of one thirty-second (1/32) of one point ($15.625, rounded up to the nearest cent per contract), including intermonth spreads.","Points ($2,000) and quarters of 1/32 of a point. For example, 109-16 represents 109 16/32, 109-162 represents 109 16.25/32, 109-165 represents 109 16.5/32, and 109-167 represents 109 16.75/32. Par is on the basis of 100 points.",".S. Treasury notes with an original term to maturity of not more than five years and three months and a remaining term to maturity of not less than one year and nine months from the first day of the delivery month and a remaining term to maturity of not more than two years from the last day of the delivery month. The invoice price equals the futures settlement price times a conversion factor, plus accrued interest. The conversion factor is the price of the delivered note ($1 par value) to yield 6 percent.","2000"
"RB","","SHFE Rebar","SHFE","2009-09-15","U2009","FHJKMNQUVXZ","2","5 ton","Yuan per ton","10 Yuan per ton","Standard products: 1# Standard Copper Cathode (Cu-CATH-2) as prescribed in the National Standard of GB/T467-2010, with Copper+Silver99.95%. Substitutions: Grade-A Copper (Cu-CATH-1) as prescribed in the National Standard of GB/T467-2010; or Grade-A Copper (Cu-CATH-1) as prescribed in BS EN 1978:1998",""
"MW","","MGEX Hard Red Spring Wheat","MGEX","1995-07-20","N1995","HKNUZ","2","5000 bushels","1/4 cent per bushel or $12.50 per contract","US Dollars and Cents per bushel","No. 2 or better Northern Spring Wheat with a protein content of 13.5% or higher, with 13% protein deliverable at a discount.",""
"RU","","SHFE Natural Rubber","SHFE","2002-01-15","F2002","FHJKMNQUVX","2","10 ton","Yuan per ton","5 Yuan per ton","Standard goods: 1.Domestic: SCR WF as specified in the National Standard of GB8081-8089-87 2.Imported: RSS3 as specified in the International Quality And Packaging Standard of Rubber(1979)",""
"FGBL","","EUREX Euro-Bund","EUREX","1991-03-06","H1991","HMUZ","2","One German debt security with valute at maturity of EUR100000",".01 percent = EUR10","Percent of the par value","German debt security  with remaining term of 8.5 to 10.5 years with a 6% coupon.",""
"FDAX","","EUREX DAX","EUREX","1997-12-18","Z1997","HMUZ","2","25EUR per index point",".5 index point =12.5EUR","Index Points","None, this contract is cash settled.",""
"L","","LIFFE Short Sterling","LIFFE","1990-09-19","U1990","HMUZ","2","Interest rate on three month depoist of GBP500000","0.01 (12.50)","100.00 minus rate of interest","None, this contract is cash-settled",""
"CU","","SHFE Copper","SHFE","2000-01-17","F2000","FHJKMNQUVXZ","2","5 ton","Yuan per ton","10 Yuan per ton","Standard products: 1# Standard Copper Cathode (Cu-CATH-2) as prescribed in the National Standard of GB/T467-2010, with Copper+Silver99.95%. Substitutions: Grade-A Copper (Cu-CATH-1) as prescribed in the National Standard of GB/T467-2010; or Grade-A Copper (Cu-CATH-1) as prescribed in BS EN 1978:1998",""
"FESX","","EUREX EURO STOXX 50 Index","EUREX","1998-09-18","U1998","HMUZ","2","10EUR per index point","1 index point =10EUR","Index Points","None, this contract is cash settled.",""
"FBTP","","EUREX Euro-BTP","EUREX","2010-03-08","H2010","HMUZ","2","One Italian debt security with valute at maturity of EUR100000","0.01 percent = EUR10","Percent of the par value","Italian debt security  with remaining term of 8.5 to 11 years with a 6% coupon.",""
"MP","","CME Mexican Peso","CME","1995-06-19","M1995","HMUZ","2","500,000 Mexican pesos","$.00001 per Mexican peso increments ($5.00/contract)","US Dollars and cents","500,000 Mexican pesos",""
"Z","","LIFFE FTSE 100 Index","LIFFE","1984-06-29","M1984","HMUZ","2"," 10 per index point",".5 index points = 5","Index Points","None, this contract is cash settled",""
"DA","","CME Class III Milk","CME","1997-12-31","Z1997","FGHJKMNQUVXZ","2","200,000 lbs. of Class III Milk ( 90 metric tons)","$0.01 per cwt (= $20.00 per contract)","Cents per hundredweight (cwt.)","Class III Milk",""
"YM","","CME E-mini Dow Jones","CME","1997-12-18","Z1997","HMUZ","2","$5 x Dow Jones Industrial Average (DJIA)","1.00 index points=$5.00","Index points","None this contract is cash settled",""
"FOAT","","EUREX Euro-OAT","EUREX","2013-03-07","H2013","HMUZ","2","One French debt security with valute at maturity of EUR100000","0.01 percent = EUR10","Percent of the par value","French debt security  with remaining term of 8.5 to 10.5 years with a 6% coupon.",""
"FGBS","","EUREX Euro-Schatz","EUREX","1999-03-08","H1999","HMUZ","2","One German debt security with valute at maturity of EUR100000","0.005 percent = EUR5","Percent of the par value","German debt security  with remaining term of 1.75 to 2.25 years with a 6% coupon.",""
